category_id,parent_id,depth,name
1,,1,식품
2,,1,생활용품
3,,1,가전/디지털
4,,1,패션
5,,1,뷰티
6,,1,스포츠
7,,1,완구/취미
8,,1,반려동물
9,,1,자동차
10,,1,출산/유아동
11,,1,가구/인테리어
12,,1,문구/오피스
13,,1,헬스/건강
100,1,2,가공식품
101,1,2,간편식
102,1,2,건강식품
103,1,2,베이커리/간식
104,1,2,신선식품
105,1,2,음료
106,2,2,생활잡화
107,2,2,세탁/세제
108,2,2,수납/정리
109,2,2,욕실
110,2,2,주방
111,2,2,청소
112,3,2,게임/콘솔
113,3,2,계절가전
114,3,2,대형가전
115,3,2,모바일/태블릿
116,3,2,생활가전
117,3,2,음향/영상
118,3,2,주방가전
119,3,2,컴퓨터/노트북
120,4,2,가방
121,4,2,남성의류
122,4,2,시계/주얼리
123,4,2,신발
124,4,2,언더웨어/홈웨어
125,4,2,여성의류
126,4,2,패션잡화
127,5,2,네일
128,5,2,메이크업
129,5,2,뷰티소품/도구
130,5,2,스킨케어
131,5,2,클렌징
132,5,2,향수
133,5,2,헤어/바디
134,6,2,골프
135,6,2,구기/라켓
136,6,2,등산/캠핑/아웃도어
137,6,2,수영/수상
138,6,2,운동복/스포츠웨어
139,6,2,운동화
140,6,2,자전거
141,6,2,헬스/피트니스
142,7,2,드론/RC
143,7,2,미술/공예
144,7,2,보드게임/퍼즐
145,7,2,수집/굿즈
146,7,2,악기
147,7,2,완구
148,7,2,프라모델/피규어
149,8,2,강아지 사료/간식
150,8,2,건강/영양제
151,8,2,고양이 사료/간식
152,8,2,미용/목욕
153,8,2,위생용품
154,8,2,장난감
155,8,2,하우스/방석/이동장
156,9,2,내비/블랙박스/전자기기
157,9,2,세차/관리용품
158,9,2,안전/비상용품
159,9,2,엔진오일/소모품
160,9,2,차량용품/액세서리
161,9,2,캠핑/차박용품
162,9,2,타이어/휠
163,10,2,기저귀/물티슈
164,10,2,목욕/스킨케어
165,10,2,분유/이유식
166,10,2,수유/이유용품
167,10,2,아기침구/가구
168,10,2,유모차/카시트
169,10,2,유아완구/교구
170,10,2,유아의류/신발
171,11,2,거실가구
172,11,2,수납가구
173,11,2,인테리어소품
174,11,2,조명
175,11,2,주방/식탁가구
176,11,2,침구/패브릭
177,11,2,침실가구
178,11,2,홈데코/DIY
179,12,2,노트/다이어리
180,12,2,데스크용품/책상정리
181,12,2,사무기기/소모품
182,12,2,사무용품
183,12,2,필기구
184,12,2,학용품
185,12,2,화방/미술용품
186,13,2,건강기능식품
187,13,2,건강측정기기
188,13,2,다이어트/이너뷰티
189,13,2,시니어/실버용품
190,13,2,안마/찜질
191,13,2,의료용품
192,13,2,홍삼/녹용
